OBSDHM,RF
202003312400 ,0
202004010010 ,0
202004010020 ,0
202004010030 ,0
202004010040 ,0
202004010050 ,0
202004010100 ,0
202004010110 ,0
202004010120 ,0
202004010130 ,0
202004010140 ,0
202004010150 ,0
202004010200 ,0
202004010210 ,0
202004010220 ,0
202004010230 ,0
202004010240 ,0
202004010250 ,0
202004010300 ,0
202004010310 ,0
202004010320 ,0
202004010330 ,0
202004010340 ,0
202004010350 ,0
202004010400 ,0
202004010410 ,0
202004010420 ,0
202004010430 ,0
202004010440 ,0
202004010450 ,0
202004010500 ,1
202004010510 ,0
202004010520 ,0
202004010530 ,0
202004010540 ,0
202004010550 ,0
202004010600 ,0
202004010610 ,0
202004010620 ,0
202004010630 ,0
202004010640 ,0
202004010650 ,0
202004010700 ,0
202004010710 ,0
202004010720 ,0
202004010730 ,0
202004010740 ,0
202004010750 ,0
202004010800 ,0
202004010810 ,0
202004010820 ,0
202004010830 ,0
202004010840 ,0
202004010850 ,0
202004010900 ,0
202004010910 ,0
202004010920 ,0
202004010930 ,0
202004010940 ,0
202004010950 ,0
202004011000 ,0
202004011010 ,0
202004011020 ,0
202004011030 ,0
202004011040 ,0
202004011050 ,0
202004011100 ,0
202004011110 ,0
202004011120 ,0
202004011130 ,0
202004011140 ,0
202004011150 ,0
202004011200 ,0
202004011210 ,0
202004011220 ,0
202004011230 ,0
202004011240 ,0
202004011250 ,0
202004011300 ,0
202004011310 ,0
202004011320 ,0
202004011330 ,0
202004011340 ,0
202004011350 ,0
202004011400 ,0
202004011410 ,0
202004011420 ,0
202004011430 ,0
202004011440 ,0
202004011450 ,0
202004011500 ,0
202004011510 ,0
202004011520 ,0
202004011530 ,0
202004011540 ,0
202004011550 ,0
202004011600 ,0
202004011610 ,0
202004011620 ,0
202004011630 ,0
202004011640 ,0
202004011650 ,0
202004011700 ,0
202004011710 ,0
202004011720 ,0
202004011730 ,0
202004011740 ,0
202004011750 ,0
202004011800 ,0
202004011810 ,0
202004011820 ,0
202004011830 ,0
202004011840 ,0
202004011850 ,0
202004011900 ,0
202004011910 ,0
202004011920 ,0
202004011930 ,0
202004011940 ,0
202004011950 ,0
202004012000 ,0
202004012010 ,0
202004012020 ,0
202004012030 ,0
202004012040 ,0
202004012050 ,0
202004012100 ,0
202004012110 ,0
202004012120 ,0
202004012130 ,0
202004012140 ,0
202004012150 ,0
202004012200 ,0
202004012210 ,0
202004012220 ,0
202004012230 ,0
202004012240 ,0
202004012250 ,0
202004012300 ,0
202004012310 ,0
202004012320 ,0
202004012330 ,0
202004012340 ,0
202004012350 ,0
202004012400 ,0
202004020010 ,0
202004020020 ,0
202004020030 ,0
202004020040 ,0
202004020050 ,0
202004020100 ,0
202004020110 ,0
202004020120 ,0
202004020130 ,0
202004020140 ,0
202004020150 ,0
202004020200 ,0
202004020210 ,0
202004020220 ,0
202004020230 ,0
202004020240 ,0
202004020250 ,0
202004020300 ,0
202004020310 ,0
202004020320 ,0
202004020330 ,0
202004020340 ,0
202004020350 ,0
202004020400 ,0
202004020410 ,0
202004020420 ,0
202004020430 ,0
202004020440 ,0
202004020450 ,0
202004020500 ,0
202004020510 ,0
202004020520 ,0
202004020530 ,0
202004020540 ,0
202004020550 ,0
202004020600 ,0
202004020610 ,0
202004020620 ,0
202004020630 ,0
202004020640 ,0
202004020650 ,0
202004020700 ,0
202004020710 ,0
202004020720 ,0
202004020730 ,0
202004020740 ,0
202004020750 ,0
202004020800 ,0
202004020810 ,0
202004020820 ,0
202004020830 ,0
202004020840 ,0
202004020850 ,0
202004020900 ,0
202004020910 ,0
202004020920 ,0
202004020930 ,0
202004020940 ,0
202004020950 ,0
202004021000 ,0
202004021010 ,0
202004021020 ,0
202004021030 ,0
202004021040 ,0
202004021050 ,0
202004021100 ,0
202004021110 ,0
202004021120 ,0
202004021130 ,0
202004021140 ,0
202004021150 ,0
202004021200 ,0
202004021210 ,0
202004021220 ,0
202004021230 ,0
202004021240 ,0
202004021250 ,0
202004021300 ,0
202004021310 ,0
202004021320 ,0
202004021330 ,0
202004021340 ,0
202004021350 ,0
202004021400 ,0
202004021410 ,0
202004021420 ,0
202004021430 ,0
202004021440 ,0
202004021450 ,0
202004021500 ,0
202004021510 ,0
202004021520 ,0
202004021530 ,0
202004021540 ,0
202004021550 ,0
202004021600 ,0
202004021610 ,0
202004021620 ,0
202004021630 ,0
202004021640 ,0
202004021650 ,0
202004021700 ,0
202004021710 ,0
202004021720 ,0
202004021730 ,0
202004021740 ,0
202004021750 ,0
202004021800 ,0
202004021810 ,0
202004021820 ,0
202004021830 ,0
202004021840 ,0
202004021850 ,0
202004021900 ,0
202004021910 ,0
202004021920 ,0
202004021930 ,0
202004021940 ,0
202004021950 ,0
202004022000 ,0
202004022010 ,0
202004022020 ,0
202004022030 ,0
202004022040 ,0
202004022050 ,0
202004022100 ,0
202004022110 ,0
202004022120 ,0
202004022130 ,0
202004022140 ,0
202004022150 ,0
202004022200 ,0
202004022210 ,0
202004022220 ,0
202004022230 ,0
202004022240 ,0
202004022250 ,0
202004022300 ,0
202004022310 ,0
202004022320 ,0
202004022330 ,0
202004022340 ,0
202004022350 ,0
202004022400 ,0
202004030010 ,0
202004030020 ,0
202004030030 ,0
202004030040 ,0
202004030050 ,0
202004030100 ,0
202004030110 ,0
202004030120 ,0
202004030130 ,0
202004030140 ,0
202004030150 ,0
202004030200 ,0
202004030210 ,0
202004030220 ,0
202004030230 ,0
202004030240 ,0
202004030250 ,0
202004030300 ,0
202004030310 ,0
202004030320 ,0
202004030330 ,0
202004030340 ,0
202004030350 ,0
202004030400 ,0
202004030410 ,0
202004030420 ,0
202004030430 ,0
202004030440 ,0
202004030450 ,0
202004030500 ,0
202004030510 ,0
202004030520 ,0
202004030530 ,0
202004030540 ,0
202004030550 ,0
202004030600 ,0
202004030610 ,0
202004030620 ,0
202004030630 ,0
202004030640 ,0
202004030650 ,0
202004030700 ,0
202004030710 ,0
202004030720 ,0
202004030730 ,0
202004030740 ,0
202004030750 ,0
202004030800 ,0
202004030810 ,0
202004030820 ,0
202004030830 ,0
202004030840 ,0
202004030850 ,0
202004030900 ,0
202004030910 ,0
202004030920 ,0
202004030930 ,0
202004030940 ,0
202004030950 ,0
202004031000 ,0
202004031010 ,0
202004031020 ,0
202004031030 ,0
202004031040 ,0
202004031050 ,0
202004031100 ,0
202004031110 ,0
202004031120 ,0
202004031130 ,0
202004031140 ,0
202004031150 ,0
202004031200 ,0
202004031210 ,0
202004031220 ,0
202004031230 ,0
202004031240 ,0
202004031250 ,0
202004031300 ,0
202004031310 ,0
202004031320 ,0
202004031330 ,0
202004031340 ,0
202004031350 ,0
202004031400 ,0
202004031410 ,0
202004031420 ,0
202004031430 ,0
202004031440 ,0
202004031450 ,0
202004031500 ,0
202004031510 ,0
202004031520 ,0
202004031530 ,0
202004031540 ,0
202004031550 ,0
202004031600 ,0
202004031610 ,0
202004031620 ,0
202004031630 ,0
202004031640 ,0
202004031650 ,0
202004031700 ,0
202004031710 ,0
202004031720 ,0
202004031730 ,0
202004031740 ,0
202004031750 ,0
202004031800 ,0
202004031810 ,0
202004031820 ,0
202004031830 ,0
202004031840 ,0
202004031850 ,0
202004031900 ,0
202004031910 ,0
202004031920 ,0
202004031930 ,0
202004031940 ,0
202004031950 ,0
202004032000 ,0
202004032010 ,0
202004032020 ,0
202004032030 ,0
202004032040 ,0
202004032050 ,0
202004032100 ,0
202004032110 ,0
202004032120 ,0
202004032130 ,0
202004032140 ,0
202004032150 ,0
202004032200 ,0
202004032210 ,0
202004032220 ,0
202004032230 ,0
202004032240 ,0
202004032250 ,0
202004032300 ,0
202004032310 ,0
202004032320 ,0
202004032330 ,0
202004032340 ,0
202004032350 ,0
202004032400 ,0
202004040010 ,0
202004040020 ,0
202004040030 ,0
202004040040 ,0
202004040050 ,0
202004040100 ,0
202004040110 ,0
202004040120 ,0
202004040130 ,0
202004040140 ,0
202004040150 ,0
202004040200 ,0
202004040210 ,0
202004040220 ,0
202004040230 ,0
202004040240 ,0
202004040250 ,0
202004040300 ,0
202004040310 ,0
202004040320 ,0
202004040330 ,0
202004040340 ,0
202004040350 ,0
202004040400 ,0
202004040410 ,0
202004040420 ,0
202004040430 ,0
202004040440 ,0
202004040450 ,0
202004040500 ,0
202004040510 ,0
202004040520 ,0
202004040530 ,0
202004040540 ,0
202004040550 ,0
202004040600 ,0
202004040610 ,0
202004040620 ,0
202004040630 ,0
202004040640 ,0
202004040650 ,0
202004040700 ,0
202004040710 ,0
202004040720 ,0
202004040730 ,0
202004040740 ,0
202004040750 ,0
202004040800 ,0
202004040810 ,0
202004040820 ,0
202004040830 ,0
202004040840 ,0
202004040850 ,0
202004040900 ,0
202004040910 ,0
202004040920 ,0
202004040930 ,0
202004040940 ,0
202004040950 ,0
202004041000 ,0
202004041010 ,0
202004041020 ,0
202004041030 ,0
202004041040 ,0
202004041050 ,0
202004041100 ,0
202004041110 ,0
202004041120 ,0
202004041130 ,0
202004041140 ,0
202004041150 ,0
202004041200 ,0
202004041210 ,0
202004041220 ,0
202004041230 ,0
202004041240 ,0
202004041250 ,0
202004041300 ,0
202004041310 ,0
202004041320 ,0
202004041330 ,0
202004041340 ,0
202004041350 ,0
202004041400 ,0
202004041410 ,0
202004041420 ,0
202004041430 ,0
202004041440 ,0
202004041450 ,0
202004041500 ,0
202004041510 ,0
202004041520 ,0
202004041530 ,0
202004041540 ,0
202004041550 ,0
202004041600 ,0
202004041610 ,0
202004041620 ,0
202004041630 ,0
202004041640 ,0
202004041650 ,0
202004041700 ,0
202004041710 ,0
202004041720 ,0
202004041730 ,0
202004041740 ,0
202004041750 ,0
202004041800 ,0
202004041810 ,0
202004041820 ,0
202004041830 ,0
202004041840 ,0
202004041850 ,0
202004041900 ,0
202004041910 ,0
202004041920 ,0
202004041930 ,0
202004041940 ,0
202004041950 ,0
202004042000 ,0
202004042010 ,0
202004042020 ,0
202004042030 ,0
202004042040 ,0
202004042050 ,0
202004042100 ,0
202004042110 ,0
202004042120 ,0
202004042130 ,0
202004042140 ,0
202004042150 ,0
202004042200 ,0
202004042210 ,0
202004042220 ,0
202004042230 ,0
202004042240 ,0
202004042250 ,0
202004042300 ,0
202004042310 ,0
202004042320 ,0
202004042330 ,0
202004042340 ,0
202004042350 ,0
202004042400 ,0
202004050010 ,0
202004050020 ,0
202004050030 ,0
202004050040 ,0
202004050050 ,0
202004050100 ,0
202004050110 ,0
202004050120 ,0
202004050130 ,0
202004050140 ,0
202004050150 ,0
202004050200 ,0
202004050210 ,0
202004050220 ,0
202004050230 ,0
202004050240 ,0
202004050250 ,0
202004050300 ,0
202004050310 ,0
202004050320 ,0
202004050330 ,0
202004050340 ,0
202004050350 ,0
202004050400 ,0
202004050410 ,0
202004050420 ,0
202004050430 ,0
202004050440 ,0
202004050450 ,0
202004050500 ,0
202004050510 ,0
202004050520 ,0
202004050530 ,0
202004050540 ,0
202004050550 ,0
202004050600 ,0
202004050610 ,0
202004050620 ,0
202004050630 ,0
202004050640 ,0
202004050650 ,0
202004050700 ,0
202004050710 ,0
202004050720 ,0
202004050730 ,0
202004050740 ,0
202004050750 ,0
202004050800 ,0
202004050810 ,0
202004050820 ,0
202004050830 ,0
202004050840 ,0
202004050850 ,0
202004050900 ,0
202004050910 ,0
202004050920 ,0
202004050930 ,0
202004050940 ,0
202004050950 ,0
202004051000 ,0
202004051010 ,0
202004051020 ,0
202004051030 ,0
202004051040 ,0
202004051050 ,0
202004051100 ,0
202004051110 ,0
202004051120 ,0
202004051130 ,0
202004051140 ,0
202004051150 ,0
202004051200 ,0
202004051210 ,0
202004051220 ,0
202004051230 ,0
202004051240 ,0
202004051250 ,0
202004051300 ,0
202004051310 ,0
202004051320 ,0
202004051330 ,0
202004051340 ,0
202004051350 ,0
202004051400 ,0
202004051410 ,0
202004051420 ,0
202004051430 ,0
202004051440 ,0
202004051450 ,0
202004051500 ,0
202004051510 ,0
202004051520 ,0
202004051530 ,0
202004051540 ,0
202004051550 ,0
202004051600 ,0
202004051610 ,0
202004051620 ,0
202004051630 ,0
202004051640 ,0
202004051650 ,0
202004051700 ,0
202004051710 ,0
202004051720 ,0
202004051730 ,0
202004051740 ,0
202004051750 ,0
202004051800 ,0
202004051810 ,0
202004051820 ,0
202004051830 ,0
202004051840 ,0
202004051850 ,0
202004051900 ,0
202004051910 ,0
202004051920 ,0
202004051930 ,0
202004051940 ,0
202004051950 ,0
202004052000 ,0
202004052010 ,0
202004052020 ,0
202004052030 ,0
202004052040 ,0
202004052050 ,0
202004052100 ,0
202004052110 ,0
202004052120 ,0
202004052130 ,0
202004052140 ,0
202004052150 ,0
202004052200 ,0
202004052210 ,0
202004052220 ,0
202004052230 ,0
202004052240 ,0
202004052250 ,0
202004052300 ,0
202004052310 ,0
202004052320 ,0
202004052330 ,0
202004052340 ,0
202004052350 ,0
202004052400 ,0
202004060010 ,0
202004060020 ,0
202004060030 ,0
202004060040 ,0
202004060050 ,0
202004060100 ,0
202004060110 ,0
202004060120 ,0
202004060130 ,0
202004060140 ,0
202004060150 ,0
202004060200 ,0
